Iteration	CPUTime	PhysTime	Travels
802	3574	0	5.68304745
803	3579	0	5.69013355
804	3585	0	5.69721964
805	3589	0	5.70430574
806	3594	0	5.71139183
807	3600	0	5.71847792
808	3606	0	5.72556402
809	3611	0	5.73265011
810	3616	0	5.73973621
811	3622	0	5.7468223
812	3628	0	5.7539084
813	3633	0	5.76099449
814	3638	0	5.76808058
815	3643	0	5.77516668
816	3648	0	5.78225277
817	3653	0	5.78933887
818	3658	0	5.79642496
819	3664	0	5.80351105
820	3669	0	5.81059715
821	3675	0	5.81768324
822	3680	0	5.82476934
823	3685	0	5.83185543
824	3690	0	5.83894152
825	3696	0	5.84602762
826	3700	0	5.85311371
827	3705	0	5.86019981
828	3710	0	5.8672859
829	3715	0	5.87437199
830	3719	0	5.88145809
831	3725	0	5.88854418
